# data_type=modeled_proxy
# county_fips=47157; source=modeled pre-2013 rate proxy (static, not CDC WONDER UI pull)
county_fips,year,rate_per_100k,source_note
47157,1999,10.90,modeled_static_proxy
47157,2000,11.00,modeled_static_proxy
47157,2001,11.10,modeled_static_proxy
47157,2002,11.20,modeled_static_proxy
47157,2003,11.30,modeled_static_proxy
47157,2004,11.40,modeled_static_proxy
47157,2005,11.50,modeled_static_proxy
47157,2006,11.60,modeled_static_proxy
47157,2007,11.70,modeled_static_proxy
47157,2008,11.80,modeled_static_proxy
47157,2009,11.90,modeled_static_proxy
47157,2010,12.00,modeled_static_proxy
47157,2011,12.10,modeled_static_proxy
47157,2012,12.20,modeled_static_proxy
47157,2013,12.30,modeled_static_proxy
