# data_type=modeled_proxy
# county_fips=47037; source=modeled pre-2013 rate proxy (static, not CDC WONDER UI pull)
county_fips,year,rate_per_100k,source_note
47037,1999,8.90,modeled_static_proxy
47037,2000,9.00,modeled_static_proxy
47037,2001,9.10,modeled_static_proxy
47037,2002,9.20,modeled_static_proxy
47037,2003,9.30,modeled_static_proxy
47037,2004,9.40,modeled_static_proxy
47037,2005,9.50,modeled_static_proxy
47037,2006,9.60,modeled_static_proxy
47037,2007,9.70,modeled_static_proxy
47037,2008,9.80,modeled_static_proxy
47037,2009,9.90,modeled_static_proxy
47037,2010,10.00,modeled_static_proxy
47037,2011,10.10,modeled_static_proxy
47037,2012,10.20,modeled_static_proxy
47037,2013,10.30,modeled_static_proxy
