date,class_band,identity_band,class_z,O_x,P_real,delta_P
2020-01-01,26.75,24.25,1.6412766680867699,0.4754901960691081,1.6412766680867699,0.8608657033745393
2020-02-01,29.25,27.75,2.8854427820050903,0.48684210525461685,2.8854427820050903,1.4806877434219938
2020-03-01,24.25,20.0,0.39711055416844954,0.45197740111972934,0.39711055416844954,0.21762555793817823
2020-04-01,25.5,20.5,1.0191936111276096,0.44565217390335543,1.0191936111276096,0.5649877627001794
2020-05-01,23.25,20.0,-0.10055589139887862,0.46242774565404793,-0.10055589139887862,-0.05405605722706191
2020-06-01,24.25,35.0,0.39711055416844954,0.5907172995680892,0.39711055416844954,0.16253047998007564
2020-07-01,23.25,29.5,-0.10055589139887862,0.5592417061505357,-0.10055589139887862,-0.044320843129481764
2020-08-01,22.5,26.5,-0.4738057255743747,0.5408163265195752,-0.4738057255743747,-0.21756385358529942
2020-09-01,22.0,32.0,-0.7226389483580388,0.5925925925816187,-0.7226389483580388,-0.2944084604500941
2020-10-01,22.75,27.25,-0.3493891141825427,0.5449999999891001,-0.3493891141825427,-0.15897204695686523
2020-11-01,20.5,24.25,-1.469138616709031,0.5418994413286726,-1.469138616709031,-0.6730132210800281
2020-12-01,22.75,25.5,-0.3493891141825427,0.5284974093154716,-0.3493891141825427,-0.16473787249404137
2021-01-01,24.5,29.25,0.5215271655602816,0.5441860465015036,0.5215271655602816,0.23771935919089682
2021-02-01,24.5,35.75,0.5215271655602816,0.5933609958407742,0.5215271655602816,0.21207328724541658
2021-03-01,24.75,33.0,0.6459437769521136,0.5714285714186766,0.6459437769521136,0.27683304727158303
2021-04-01,24.0,36.25,0.27269394277661746,0.6016597510273584,0.27269394277661746,0.1086249730589691
2021-05-01,24.25,40.0,0.39711055416844954,0.6225680933755242,0.39711055416844954,0.1498821936005001
2021-06-01,23.5,51.75,0.02386071999295341,0.6877076411868743,0.02386071999295341,0.007451520529578927
2021-07-01,21.75,38.5,-0.8470555597498708,0.6390041493669876,-0.8470555597498708,-0.30578354232532706
2021-08-01,23.75,31.25,0.14827733138478544,0.5681818181714876,0.14827733138478544,0.06402884764496186
2021-09-01,23.75,28.0,0.14827733138478544,0.5410628019219119,0.14827733138478544,0.06804998300422958
2021-10-01,23.75,32.25,0.14827733138478544,0.5758928571325734,0.14827733138478544,0.06288547536560796
