race,parent_quintile,child_q1,child_q2,child_q3,child_q4,child_q5
Black,1,0.373337333733,0.380238023802,0.157715771577,0.063406340634,0.025302530253
Black,2,0.300800000000,0.359200000000,0.203900000000,0.093400000000,0.042700000000
Black,3,0.253225322532,0.315831583158,0.233323332333,0.128812881288,0.068806880688
Black,4,0.210400000000,0.277900000000,0.247100000000,0.162200000000,0.102400000000
Black,5,0.167083291671,0.214178582142,0.238476152385,0.200579942006,0.179682031797
White,1,0.290470952905,0.246575342466,0.196080391961,0.160983901610,0.105889411059
White,2,0.208779122088,0.217778222178,0.219678032197,0.206679332067,0.147085291471
White,3,0.154684531547,0.182081791821,0.224077592241,0.244475552445,0.194680531947
White,4,0.113900000000,0.142700000000,0.208300000000,0.268400000000,0.266700000000
White,5,0.086508650865,0.098109810981,0.160416041604,0.243824382438,0.411141114111
